Name,Type,Category,Power,Acc.,PP,Heal,Times Hit,First,Crit,Insta,Dodge,Flinch,Charge
Asorb,Grass,Special,0.2,100,25,0.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Accelerock,Rock,Physical,0.4,100,20,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,
Acid,Poison,Special,0.4,100,30,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Acid Spray,Poison,Special,0.4,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Acrobatics,Flying,Physical,0.55,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Ariel Ace,Flying,Physical,0.6,100,20,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,
Aeroblast,Flying,Special,1,95,5,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,
Air Cutter,Flying,Special,0.6,95,25,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,
Air Slash,Flying,Special,0.75,95,15,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,
Alluring Voice,Fairy,Special,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Anchor Shot,Steel,Physical,0.8,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Ancient Power,Rock,Special,0.6,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Apple Acid,Grass,Special,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Aqua Cutter,Water,Physical,0.7,100,20,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,
Aqau Jet,Water,Physical,0.4,100,20,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,
Aqua Step,Water,Physical,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Aqua Tail,Water,Physical,0.9,90,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Arm Thrust,Fighting,Physical,0.15,100,20,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,
Armor Cannon,Fire,Special,1.2,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Assurance,Dark,Physical,0.6,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
